1 2.00894 32.9316 411.382
2 1.03313 16.9887 213.846
3 0.704448 11.6428 148.652
4 0.542374 9.07652 116.418
5 0.444444 7.50413 96.7614
6 0.379048 6.39453 83.8604
7 0.34802 6.22685 75.0097
8 0.327814 5.21901 68.2757
9 0.272094 4.74526 63.2499
10 0.309698 4.40569 59.0353
11 0.330106 4.10085 56.8227
12 0.296136 5.45505 52.4351
13 0.299815 4.15893 56.5442
14 0.280574 3.97474 53.9098
15 0.263247 4.07067 53.6114
16 0.257783 4.02445 52.2553
17 0.227357 4.37595 51.2378
18 0.261453 3.91954 53.9873
19 0.23183 3.70883 53.4809
20 0.219398 3.85492 54.8249
21 0.215402 3.75617 52.9585
22 0.213107 3.88924 52.5955
23 0.204392 3.79691 52.9647
24 0.269364 3.72407 54.9756
